store_id,sku,on_hand,in_transit,reorder_point,safety_stock
store_001,P0001,187,8,56,37
store_002,P0001,132,2,39,26
store_003,P0001,75,37,22,15
store_004,P0001,35,0,10,7
store_006,P0001,238,22,71,47
store_007,P0001,32,36,9,6
store_008,P0001,30,0,9,6
store_009,P0001,257,0,77,51
store_010,P0001,155,0,46,31
store_011,P0001,63,26,18,12
store_013,P0001,27,0,8,5
store_014,P0001,82,0,24,16
store_016,P0001,244,23,73,48
store_019,P0001,116,0,34,23
store_020,P0001,48,0,14,9
store_021,P0001,128,0,38,25
store_022,P0001,122,8,36,24
store_023,P0001,18,0,5,3
store_024,P0001,147,0,44,29
store_025,P0001,87,0,26,17
store_026,P0001,80,2,24,16
store_028,P0001,193,0,57,38
store_029,P0001,96,0,28,19
store_030,P0001,39,0,11,7
store_031,P0001,79,0,23,15
store_032,P0001,19,0,5,3
store_034,P0001,32,0,9,6
store_036,P0001,62,8,18,12
store_037,P0001,111,0,33,22
store_040,P0001,46,0,13,9
store_041,P0001,109,0,32,21
store_042,P0001,32,46,9,6
store_043,P0001,98,0,29,19
store_044,P0001,179,0,53,35
store_046,P0001,22,0,6,4
store_047,P0001,53,5,15,10
store_048,P0001,51,0,15,10
store_049,P0001,153,25,45,30
store_050,P0001,103,0,30,20
store_001,P0002,34,0,10,6
store_005,P0002,100,15,30,20
store_007,P0002,31,17,9,6
store_009,P0002,133,0,39,26
store_010,P0002,61,0,18,12
store_011,P0002,39,0,11,7
store_012,P0002,165,0,49,33
store_013,P0002,33,31,9,6
store_015,P0002,28,0,8,5
store_016,P0002,144,18,43,28
store_022,P0002,59,0,17,11
store_023,P0002,88,0,26,17
store_024,P0002,121,0,36,24
store_027,P0002,43,36,12,8
store_028,P0002,185,0,55,37
store_029,P0002,17,13,5,3
store_030,P0002,67,0,20,13
store_031,P0002,91,0,27,18
store_032,P0002,83,0,24,16
store_034,P0002,83,0,24,16
store_035,P0002,186,0,55,37
store_038,P0002,96,0,28,19
store_041,P0002,262,0,78,52
store_042,P0002,78,0,23,15
store_043,P0002,88,0,26,17
store_044,P0002,39,0,11,7
store_046,P0002,122,0,36,24
store_047,P0002,83,12,24,16
store_050,P0002,63,0,18,12
store_001,P0003,50,8,15,10
store_002,P0003,208,0,62,41
store_006,P0003,36,0,10,7
store_007,P0003,36,0,10,7
store_008,P0003,75,0,22,15
store_009,P0003,40,0,12,8
store_010,P0003,21,0,6,4
store_012,P0003,64,0,19,12
store_014,P0003,108,0,32,21
store_016,P0003,86,0,25,17
store_017,P0003,87,0,26,17
store_018,P0003,34,0,10,6
store_019,P0003,46,36,13,9
store_020,P0003,40,0,12,8
store_021,P0003,150,0,45,30
store_022,P0003,72,0,21,14
store_023,P0003,134,0,40,26
store_024,P0003,146,0,43,29
store_025,P0003,21,9,6,4
store_026,P0003,65,0,19,13
store_027,P0003,151,0,45,30
store_030,P0003,170,0,51,34
store_031,P0003,183,26,54,36
store_032,P0003,33,21,9,6
store_033,P0003,12,0,3,2
store_034,P0003,45,0,13,9
store_038,P0003,87,0,26,17
store_039,P0003,109,0,32,21
store_040,P0003,29,0,8,5
store_042,P0003,22,0,6,4
store_043,P0003,119,0,35,23
store_044,P0003,47,0,14,9
store_047,P0003,66,0,19,13
store_049,P0003,54,0,16,10
store_050,P0003,231,0,69,46
store_001,P0004,42,0,12,8
store_002,P0004,191,37,57,38
store_003,P0004,164,47,49,32
store_004,P0004,6,0,1,1
store_005,P0004,24,48,7,4
store_006,P0004,23,0,6,4
store_007,P0004,102,43,30,20
store_008,P0004,105,0,31,21
store_009,P0004,184,0,55,36
store_012,P0004,152,0,45,30
store_013,P0004,77,3,23,15
store_014,P0004,166,38,49,33
store_016,P0004,214,38,64,42
store_017,P0004,100,0,30,20
store_019,P0004,36,29,10,7
store_021,P0004,19,0,5,3
store_022,P0004,92,0,27,18
store_023,P0004,70,43,21,14
store_024,P0004,201,0,60,40
store_025,P0004,10,0,3,2
store_026,P0004,66,0,19,13
store_027,P0004,29,14,8,5
store_028,P0004,21,0,6,4
store_030,P0004,285,0,85,57
store_031,P0004,144,0,43,28
store_032,P0004,196,0,58,39
store_033,P0004,7,0,2,1
store_034,P0004,92,0,27,18
store_036,P0004,24,47,7,4
store_039,P0004,182,0,54,36
store_040,P0004,15,50,4,3
store_041,P0004,21,0,6,4
