store_id,tier,performance_factor,city,state,region,climate,locality,latitude,longitude,size,purchasing_power,fashion_consciousness,competition_level
store_001,Tier_2,1.0,Surat,Gujarat,West,Tropical,Tier-2,21.1702,72.8311,Medium,1.0,1.0,1.0
store_002,Tier_2,1.0,Faridabad,Haryana,North,Semi-arid,Tier-2,28.4089,77.3178,Small,1.0,1.0,1.0
store_003,Tier_3,0.7,Amritsar,Punjab,North,Semi-arid,Tier-2,31.634,74.8723,Medium,1.0,1.0,1.0
store_004,Tier_3,0.7,Jodhpur,Rajasthan,North,Arid,Tier-3,26.2389,73.0243,Small,0.7,0.8,0.8
store_005,Tier_2,1.0,Lucknow,Uttar Pradesh,North,Humid Subtropical,Tier-2,26.8467,80.9462,Large,1.0,1.0,1.0
store_006,Tier_2,1.0,Jabalpur,Madhya Pradesh,Central,Tropical,Tier-2,23.1815,79.9864,Small,1.0,1.0,1.0
store_007,Tier_3,0.7,Ghaziabad,Uttar Pradesh,North,Humid Subtropical,Tier-2,28.6692,77.4538,Medium,1.0,1.0,1.0
store_008,Tier_2,1.0,Ahmedabad,Gujarat,West,Arid,Tier-2,23.0225,72.5714,Large,1.0,1.0,1.0
store_009,Tier_2,1.0,Delhi,Delhi,North,Semi-arid,Metro,28.6139,77.209,Medium,1.4,1.3,1.2
store_010,Tier_2,1.0,Rajkot,Gujarat,West,Arid,Tier-2,22.3039,70.8022,Small,1.0,1.0,1.0
store_011,Tier_2,1.0,Kochi,Kerala,South,Tropical,Tier-2,9.9312,76.2673,Medium,1.0,1.0,1.0
store_012,Tier_3,0.7,Warangal,Telangana,South,Tropical,Tier-3,18.0,79.5833,Medium,0.7,0.8,0.8
store_013,Tier_3,0.7,Chandigarh,Chandigarh,North,Semi-arid,Tier-2,30.7333,76.7794,Large,1.0,1.0,1.0
store_014,Tier_2,1.0,Ludhiana,Punjab,North,Semi-arid,Tier-2,30.901,75.8573,Large,1.0,1.0,1.0
store_015,Tier_3,0.7,Guwahati,Assam,East,Humid Subtropical,Tier-2,26.1445,91.7362,Large,1.0,1.0,1.0
store_016,Tier_2,1.0,Mumbai,Maharashtra,West,Tropical,Metro,19.076,72.8777,Medium,1.4,1.3,1.2
store_017,Tier_2,1.0,Mysore,Karnataka,South,Tropical,Tier-2,12.2958,76.6394,Large,1.0,1.0,1.0
store_018,Tier_3,0.7,Agra,Uttar Pradesh,North,Semi-arid,Tier-3,27.1767,78.0081,Medium,0.7,0.8,0.8
store_019,Tier_3,0.7,Vadodara,Gujarat,West,Tropical,Tier-2,22.3072,73.1812,Medium,1.0,1.0,1.0
store_020,Tier_2,1.0,Bhopal,Madhya Pradesh,Central,Tropical,Tier-2,23.2599,77.4126,Large,1.0,1.0,1.0
store_021,Tier_2,1.0,Gwalior,Madhya Pradesh,Central,Tropical,Tier-2,26.2183,78.1828,Small,1.0,1.0,1.0
store_022,Tier_2,1.0,Madurai,Tamil Nadu,South,Tropical,Tier-2,9.9252,78.1198,Medium,1.0,1.0,1.0
store_023,Tier_3,0.7,Meerut,Uttar Pradesh,North,Humid Subtropical,Tier-2,28.9845,77.7064,Large,1.0,1.0,1.0
store_024,Tier_3,0.7,Bhubaneswar,Odisha,East,Tropical,Tier-2,20.2961,85.8245,Small,1.0,1.0,1.0
store_025,Tier_3,0.7,Vijayawada,Andhra Pradesh,South,Tropical,Tier-2,16.5062,80.648,Large,1.0,1.0,1.0
store_026,Tier_2,1.0,Chennai,Tamil Nadu,South,Tropical,Metro,13.0827,80.2707,Small,1.4,1.3,1.2
store_027,Tier_2,1.0,Varanasi,Uttar Pradesh,North,Humid Subtropical,Tier-2,25.3176,82.9739,Large,1.0,1.0,1.0
store_028,Tier_3,0.7,Thane,Maharashtra,West,Tropical,Tier-2,19.2183,72.9781,Medium,1.0,1.0,1.0
store_029,Tier_2,1.0,Jamshedpur,Jharkhand,East,Tropical,Tier-2,22.8046,86.2029,Medium,1.0,1.0,1.0
store_030,Tier_2,1.0,Hyderabad,Telangana,South,Tropical,Metro,17.385,78.4867,Small,1.4,1.3,1.2
store_031,Tier_2,1.0,Coimbatore,Tamil Nadu,South,Tropical,Tier-2,11.0168,76.9558,Medium,1.0,1.0,1.0
store_032,Tier_2,1.0,Mangalore,Karnataka,South,Tropical,Tier-2,12.9141,74.856,Medium,1.0,1.0,1.0
store_033,Tier_3,0.7,Srinagar,Jammu and Kashmir,North,Temperate,Tier-3,34.0837,74.7973,Small,0.7,0.8,0.8
store_034,Tier_3,0.7,Raipur,Chhattisgarh,Central,Tropical,Tier-2,21.2514,81.6296,Medium,1.0,1.0,1.0
store_035,Tier_3,0.7,Kota,Rajasthan,North,Arid,Tier-2,25.2138,75.8648,Medium,1.0,1.0,1.0
store_036,Tier_2,1.0,Kozhikode,Kerala,South,Tropical,Tier-2,11.2588,75.7804,Large,1.0,1.0,1.0
store_037,Tier_2,1.0,Pune,Maharashtra,West,Tropical,Tier-2,18.5204,73.8567,Small,1.0,1.0,1.0
store_038,Tier_3,0.7,Tiruchirappalli,Tamil Nadu,South,Tropical,Tier-2,10.7905,78.7047,Small,1.0,1.0,1.0
store_039,Tier_2,1.0,Visakhapatnam,Andhra Pradesh,South,Tropical,Tier-2,17.6868,83.2185,Large,1.0,1.0,1.0
store_040,Tier_3,0.7,Belgaum,Karnataka,South,Tropical,Tier-3,15.8497,74.4977,Large,0.7,0.8,0.8
store_041,Tier_1,1.3,Kolkata,West Bengal,East,Tropical,Metro,22.5726,88.3639,Large,1.4,1.3,1.2
store_042,Tier_2,1.0,Dhanbad,Jharkhand,East,Tropical,Tier-2,23.7957,86.4304,Medium,1.0,1.0,1.0
store_043,Tier_2,1.0,Nagpur,Maharashtra,Central,Tropical,Tier-2,21.1458,79.0882,Medium,1.0,1.0,1.0
