product_id,vendor_sku,name,description,category,color,material,pattern,price_min,price_max
P0001,V-POL-0001,Classic Polo Shirt,Gray Stripes Cotton Blend Classic Polo Shirt with short sleeves,POLO,Gray,Cotton Blend,Stripes,299,999
P0002,V-POL-0002,Color Block Polo,White Performance Fabric Color Block Polo with short sleeves,POLO,White,Performance Fabric,Solid,299,999
P0003,V-JEA-0003,Stretch Comfort Jeans,Blue Faded Raw Denim Stretch Comfort Jeans regular fit,JEANS,Blue,Raw Denim,Faded,799,2499
P0004,V-TOP-0004,Knot Front Top,Printed Linen Knot Front Top with sleeveless sleeves halter neck,TOP,Printed,Linen,Solid,299,899
P0005,V-KUR-0005,Anarkali Kurta,Pink Embroidered Linen Anarkali Kurta with short sleeves round neck,KURTA,Pink,Linen,Embroidered,499,1999
P0006,V-SAL-0006,Churidar Salwar,Beige Embroidered Chiffon Churidar Salwar regular fit,SALWAR,Beige,Chiffon,Embroidered,399,1299
P0007,V-TOP-0007,Blouse Style Top,Red Cotton Blouse Style Top with three-quarter sleeves off-shoulder neck,TOP,Red,Cotton,Solid,299,899
P0008,V-JEA-0008,Wide Leg Jeans,Blue Faded Denim Wide Leg Jeans slim fit,JEANS,Blue,Denim,Faded,799,2499
P0009,V-JEA-0009,Regular Fit Jeans,Gray Vintage Wash Stretch Denim Regular Fit Jeans regular fit,JEANS,Gray,Stretch Denim,Vintage Wash,799,2499
P0010,V-KUR-0010,Straight Cut Kurta,Green Linen Straight Cut Kurta with three-quarter sleeves v-neck neck,KURTA,Green,Linen,Solid,499,1999
P0011,V-JEA-0011,Skinny Fit Jeans,White Distressed Stretch Denim Skinny Fit Jeans bootcut fit,JEANS,White,Stretch Denim,Distressed,799,2499
P0012,V-KUR-0012,Cotton Kurta,White Embroidered Linen Cotton Kurta with long sleeves mandarin neck,KURTA,White,Linen,Embroidered,499,1999
P0013,V-POL-0013,Long Sleeve Polo,Gray Color Block Cotton Blend Long Sleeve Polo with long sleeves,POLO,Gray,Cotton Blend,Color Block,299,999
P0014,V-DRE-0014,Bodycon Party Dress,Blue Polka Dots Polyester Bodycon Party Dress with sleeveless sleeves halter neck,DRESS,Blue,Polyester,Polka Dots,599,1999
P0015,V-SAL-0015,Wide Leg Salwar,Beige Printed Georgette Wide Leg Salwar churidar fit,SALWAR,Beige,Georgette,Printed,399,1299
P0016,V-TOP-0016,Peplum Top,Printed Cotton Peplum Top with sleeveless sleeves v-neck neck,TOP,Printed,Cotton,Solid,299,899
P0017,V-SAL-0017,Wide Leg Salwar,White Striped Cotton Wide Leg Salwar wide leg fit,SALWAR,White,Cotton,Striped,399,1299
