YearMonth,StoreID,StoreName,City,ClimateTag,StyleCode,StyleName,Colour,Fit,Fabric,Segment,Family,Class,Brick,ProductGroup,BasePrice,QuantitySold,TotalSales
2024-11,ST04,Store 4,Bengaluru,Mild weather,SYL330,Studio Yoga Leggings,Black,Slim,Nylon-Spandex,Womens,Active,Bottom,Leggings,Knit,1499,775,1161725
2024-08,ST09,Store 9,Kolkata,Humid + festive,RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,1380,1654620
2024-05,ST02,Store 2,Jaipur,"Semi-winter, Festive",FAK288,FestiveAura Kurta,Mustard,Straight,Rayon-Silk,Womens,Ethnic,Top,Kurta,Woven,1699,391,664309
2024-08,ST03,Store 3,Mumbai,"Humid, No winter",CWS888,CloudWalk Sneakers,White,Regular,Mesh,Mens,Active,Bottom,Shoes,Other,2499,514,1284486
2024-08,ST09,Store 9,Kolkata,Humid + festive,ADJ660,AllDay Denim Jogger,Dark Blue,Tapered,Denim,Mens,Casual,Bottom,Jogger,Denim,1899,353,670347
2024-10,ST07,Store 7,Hyderabad,Warm semi-arid,ALV310,AeroLite Vest,Black,Slim,Poly Blend,Mens,Active,Top,Vest,Knit,499,384,191616
2024-01,ST06,Store 6,Chennai,"Hot, Tropical",CMH215,ChillMode Hoodie,Bottle Green,Relaxed,Fleece,Mens,Lounge,Top,Hoodie,Knit,1699,591,1004109
2024-09,ST08,Store 8,Pune,"Mild, fashion-forward",BSS260,Bedtime Story Set,Baby Blue,Relax,Cotton,Kids,Lounge,Sets,Pyjama Set,Knit,899,483,434217
2024-12,ST03,Store 3,Mumbai,"Humid, No winter",AAS711,AeroActive Shorts,Black,Athletic,Poly Knit,Mens,Active,Bottom,Shorts,Knit,799,368,294032
2024-01,ST06,Store 6,Chennai,"Hot, Tropical",RDW300,RainDance Windcheater,Yellow,Regular,Nylon,Kids,Active,Top,Jacket,Woven,1199,269,322531
2024-10,ST08,Store 8,Pune,"Mild, fashion-forward",TFS522,TerraForm Shorts,Beige,Regular,Cotton Twill,Mens,Casual,Bottom,Shorts,Woven,799,345,275655
2024-01,ST02,Store 2,Jaipur,"Semi-winter, Festive",WJS555,Weekend Jog Set,Navy,Relaxed,Cotton Blend,Mens,Lounge,Sets,Tracksuit,Knit,1999,514,1027486
2024-01,ST08,Store 8,Pune,"Mild, fashion-forward",HNJ333,Heritage Nehru Jacket,Ivory,Regular,Silk Blend,Mens,Ethnic,Top,Jacket,Woven,2499,238,594762
