StyleName,StyleCode,Colour,Fabric,Fit,Notes
Nordic shld jkt deepnavy,nsj-990??,navydeep??,nylon shell heavy matte???,reg?,"Mens Active TOP?? winter wear looks like glacier shild jkt maybe? price ~4.2k-4.4k, standcollr fullsleev"
breeze flow linen shrt mint pastel,BLS 204x,mintgrn pstl,pure linen 100pc|soft airy,relaxd,mens casual? solid/half-sleeve spreadcollr summr-vibe ~1800-1900 brunch/resort
TerraMotion cargo joggr,tmc_880,olive drab??,twill+lycra (stretch okish),relax fit??,bottomwear? joggr/cargo hybrid alltime-use mid~1700ish
FESTivEroyale Kurtta EMERALD,FRK-550,emrld??,silc blend shiny,str8cut,mens ethnic top kurta embroidered subtle festive/marriage sleevFULL mandrn price 2400-2600
cloudLux lounge tee charcol,CLL33O???,chandelier-grey??,cotton modal?? super soft,comfyfit??,mens lounge tshirt solid crew half sleeve stretch HIGH ~799 eco modal?
AERODRY run tee neonylw,adr112,neon ylw,poly knit quickdry,slimfit,mens Active tshirt solid half-slv crew sez: all yr use price ~999 trend high
coastlbreeze drs coral,CBD-721,coralish???,rayon??,flare??,womns casual floral printed summer vacay dress sleeveless v-neck ~2100 brunch/resort
WinterTherm base top charcol,wtt441,charcoal??,thermal cotton??,slim??,mens active innerwear thermal FULLslv? base layer ~699 winter main
UrbanEdge ovsrhrt,UEO_543?,charcoal??,twill??,relaxd?,mens casual overshirt? solid fullsleeve collared season all price 1700-1900
raindance kids windchtr,rdw300_kids,brightyellow??,nylon water resist??,regfit,kids active jkt monsoon/rain price ~1100
LuxeSilque kurtaset,LSK55X??,maroon-gold??,silk blend embro??,strght??,girls ethnic set festive/wedding full sleeve? price~2600
AeroSculpt leggings blk,ASL_920,black??,nylon-spandex highstretch,slim??,womns active leggings bottom season all gym price 999-1099
MetroOxford SHRT blu,mos_311,ltblue??,oxford cotton??,regs??,mens formal shirt solid officewear sleeve-full ~1600 mid
TrailHike cargo pant stone,THP700,stone,cotton twill??,relax??,mens casual cargo bottom many pockets price approx 1500
SoftNest PJ set lavender,snp_889,lavndr??,cotton 2pc??,relax??,womens lounge pyjama set solid softfeel homewear ~1299
